,betweenness_centrality,vertex
1412,0.0,27186
1413,0.0,27187
1414,0.0,27188
1415,0.0,27190
1416,0.0,27195
1417,0.0,27200
1418,0.0,27204
1419,0.0,27209
1420,0.0,27212
1421,0.0,27214
1422,0.0,27215
1423,0.0,27216
1424,0.0,27221
1425,0.0,27222
1426,0.0,27232
1427,0.0,27236
1428,0.0,27239
1429,0.0,27240
1430,0.0,27241
1431,0.0,27242
1432,0.0,27243
1433,0.0,27244
1434,0.0,27246
1435,0.0,27247
1436,0.0,27249
1437,0.0,27250
1438,0.0,27252
1439,0.0,27259
1440,0.0,38376
1441,0.0,38378
1442,0.0,38382
1443,0.0,38385
1444,0.0,38388
1445,0.0,38391
1446,0.0,38394
1447,0.0,38400
1448,0.0,38403
1449,0.0,38404
1450,0.0,38411
1451,0.0,38414
1452,0.0,38415
1453,0.0,38416
1454,0.0,38423
1455,0.0,38425
1456,0.0,38428
1457,0.0,38431
1458,0.0,38435
1459,0.0,38437
1460,0.0,38440
1461,0.0,38442
1462,0.0,38448
1463,0.0,38449
1464,0.0,38451
1465,0.0,38453
1466,0.0,38457
1467,0.0,38461
1468,0.0,38462
1469,0.0,38463
1470,0.0,38465
1471,0.0,38469
1472,0.0,23135
1473,0.0,23138
1474,0.0,23139
1475,0.0,23140
1476,0.0,23145
1477,0.0,23150
1478,0.0,23152
1479,0.0,23153
1480,0.0,23158
1481,0.0,23159
1482,0.0,23165
1483,0.0,23169
1484,0.0,23170
1485,0.0,23171
1486,0.0,23172
1487,0.0,23173
1488,0.0,23178
1489,0.0,23181
